anio,mes,mes_nombre,n_incendios,fecha_mes,t2m_nacional,tp_nacional,t2m_anomaly_nacional,tp_anomaly_nacional
2000,1,ENERO,1730,2000-01-01,15.454837,73.60638,-0.60273457,9.178917
2000,2,FEBRERO,739,2000-02-01,15.315384,62.70416,-0.7600632,5.784603
2000,3,MARZO,806,2000-03-01,14.088251,57.750008,-0.757987,-4.092243
2000,4,ABRIL,248,2000-04-01,12.51686,58.150024,-0.05608177,-1.522213
2000,5,MAYO,4,2000-05-01,9.735901,49.971584,-0.3947363,-16.549274
2000,6,JUNIO,0,2000-06-01,7.788126,112.99143,-0.46576023,37.343346
2000,7,JULIO,0,2000-07-01,6.5087576,64.63273,-1.0107465,-2.4546661
2000,8,AGOSTO,0,2000-08-01,7.848668,48.268612,-0.392601,-18.191402
2000,9,SEPTIEMBRE,0,2000-09-01,8.189164,57.011215,-1.3082743,5.2617607
2000,10,OCTUBRE,54,2000-10-01,11.005597,54.94451,-0.2210865,0.4062233
2000,11,NOVIEMBRE,293,2000-11-01,12.304359,54.759415,-0.7517185,2.1007004
2000,12,DICIEMBRE,1008,2000-12-01,14.30729,67.53288,-0.5122423,8.84079
2001,1,ENERO,1373,2001-01-01,15.432344,84.711334,-0.625227,20.283875
2001,2,FEBRERO,1389,2001-02-01,16.041372,73.35975,-0.034074783,16.440193
2001,3,MARZO,942,2001-03-01,14.204485,76.35021,-0.6417532,14.507961
2001,4,ABRIL,305,2001-04-01,12.100363,55.829933,-0.472579,-3.8423042
2001,5,MAYO,12,2001-05-01,9.6080675,79.69476,-0.52256966,13.173904
2001,6,JUNIO,0,2001-06-01,8.116947,61.492573,-0.13693905,-14.155514
2001,7,JULIO,0,2001-07-01,6.8533435,92.49655,-0.6661606,25.409157
2001,8,AGOSTO,0,2001-08-01,8.259533,72.73329,0.018263817,6.2732773
2001,9,SEPTIEMBRE,0,2001-09-01,9.145538,46.669785,-0.3519001,-5.07967
2001,10,OCTUBRE,123,2001-10-01,11.46546,41.0874,0.2387762,-13.45089
2001,11,NOVIEMBRE,463,2001-11-01,12.694227,60.650005,-0.36185074,7.991291
2001,12,DICIEMBRE,1569,2001-12-01,14.948964,49.662216,0.12943172,-9.029877
2002,1,ENERO,2053,2002-01-01,15.663992,50.73507,-0.39357948,-13.69239
2002,2,FEBRERO,1821,2002-02-01,15.799793,59.463326,-0.27565384,2.5437698
2002,3,MARZO,508,2002-03-01,14.211478,72.07213,-0.6347599,10.229877
2002,4,ABRIL,158,2002-04-01,12.216444,68.40548,-0.35649776,8.733242
2002,5,MAYO,6,2002-05-01,9.488634,89.6675,-0.64200306,23.146645
2002,6,JUNIO,0,2002-06-01,6.8601403,55.641563,-1.3937459,-20.006523
2002,7,JULIO,10,2002-07-01,6.9628625,66.15879,-0.5566416,-0.9286041
2002,8,AGOSTO,4,2002-08-01,8.102735,76.61147,-0.13853455,10.151459
